DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION DESCRIPTION,CRITICAL FLAG,GRADE,GRADE DATE,INSPECTION TYPE
TABU,Manhattan,DYCKMAN STREET,10034,2123040144,Latin American,02/22/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/22/2018,Cycle Inspection / Initial Inspection
WINE BAR & RISTORANTE,Manhattan,2 AVENUE,10128,2124271010,Italian,02/22/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/22/2018,Cycle Inspection / Initial Inspection
HOUSTON HALL,Manhattan,WEST HOUSTON STREET,10014,2126759323,American,04/30/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/30/2018,Cycle Inspection / Initial Inspection
PIER 25 SNACK BAR,Manhattan,WEST STREET,10013,9173024616,American,07/17/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/17/2018,Cycle Inspection / Initial Inspection
UVA,Manhattan,2 AVENUE,10075,2124724552,Italian,07/30/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/30/2018,Cycle Inspection / Initial Inspection
INDIAN ACCENT,Manhattan,WEST   56 STREET,10019,2128428070,Indian,08/07/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/07/2018,Cycle Inspection / Initial Inspection
BROADHURST THEATER,Manhattan,44th Street,10036,2125867610,American,10/16/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,10/16/2018,Cycle Inspection / Initial Inspection
PAPASITO MEXICAN GRILL,Manhattan,DYCKMAN STREET,10034,2125440001,Mexican,10/18/2018,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,10/18/2018,Cycle Inspection / Initial Inspection
CORT THEATRE,Manhattan,WEST   48 STREET,10105,2125867610,American,10/25/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,10/25/2018,Cycle Inspection / Initial Inspection
NEW AMSTERDAM THEATER,Manhattan,WEST   42 STREET,10036,2125825472,American,10/25/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,10/25/2018,Cycle Inspection / Initial Inspection
MINSKOFF THEATRE,Manhattan,WEST   45 STREET,10036,2123544624,American,10/30/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,10/30/2018,Cycle Inspection / Initial Inspection
BOUCHERIE,Manhattan,7TH AVE S,10014,2128371616,French,11/27/2018,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/27/2018,Cycle Inspection / Initial Inspection
DONNA MARGHERITIA,Manhattan,2 AVENUE,10065,2127721169,Italian,01/10/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/10/2019,Cycle Inspection / Initial Inspection
RAOULS,Manhattan,PRINCE STREET,10012,2129663518,French,01/23/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/23/2019,Cycle Inspection / Initial Inspection
SLAUGHTERED LAMB PUB,Manhattan,WEST    4 STREET,10014,2127273350,American,01/28/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/28/2019,Cycle Inspection / Initial Inspection
BODRUM,Manhattan,AMSTERDAM AVENUE,10024,2127992806,Mediterranean,02/04/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/04/2019,Cycle Inspection / Initial Inspection
TAVERN 29,Manhattan,EAST   29 STREET,10016,2126854422,American,03/18/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/18/2019,Cycle Inspection / Initial Inspection
GARDENIA TERRACE,Manhattan,10 AVENUE,10019,2123340489,Mediterranean,03/21/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/21/2019,Cycle Inspection / Initial Inspection
CAFFE DEI FIORI RISTORANTE,Manhattan,LEXINGTON AVENUE,10021,2123273400,Italian,03/25/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/25/2019,Cycle Inspection / Initial Inspection
PANGEA,Manhattan,2 AVENUE,10003,2129950900,Mediterranean,03/26/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/26/2019,Cycle Inspection / Initial Inspection
KINGS CARRIAGE HOUSE,Manhattan,EAST   82 STREET,10028,2127345490,American,03/27/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/27/2019,Cycle Inspection / Initial Inspection
BOQUERIA,Manhattan,2 AVENUE,10075,2123432227,Tapas,03/28/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,03/28/2019,Cycle Inspection / Initial Inspection
ARABESQUE,Manhattan,EAST   36 STREET,10016,2125322210,Mediterranean,04/03/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/03/2019,Cycle Inspection / Initial Inspection
CASA LA FEMME,Manhattan,CHARLES STREET,10014,2125050005,Egyptian,04/04/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/04/2019,Cycle Inspection / Initial Inspection
KONNECTGOLF,Manhattan,5 AVENUE,10036,9176926207,American,04/08/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/08/2019,Cycle Inspection / Initial Inspection
TAKAHACHI TRIBECA,Manhattan,DUANE STREET,10013,2125711830,Japanese,04/17/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,04/17/2019,Cycle Inspection / Initial Inspection
COPPOLA'S,Manhattan,3 AVENUE,10016,2126790070,Italian,04/18/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,04/18/2019,Cycle Inspection / Initial Inspection
809 GRILL & BAR RESTAURANT,Manhattan,DYCKMAN STREET,10040,2123043800,Latin American,04/25/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/25/2019,Cycle Inspection / Initial Inspection
FIDDLESTICKS,Manhattan,GREENWICH AVENUE,,2124630516,American,04/30/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/30/2019,Cycle Inspection / Initial Inspection
THE SCRATCHER CAFE,Manhattan,EAST    5 STREET,10003,2124770030,Irish,05/01/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/01/2019,Cycle Inspection / Initial Inspection
RAINES LAW ROOM,Manhattan,WEST   17 STREET,10011,2122420600,American,05/08/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/08/2019,Cycle Inspection / Initial Inspection
ANTON'S,Manhattan,HUDSON STREET,10014,2129240818,American,05/09/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/09/2019,Cycle Inspection / Initial Inspection
HONG CHEONG,Manhattan,FREDERICK DOUGLAS BOULEVARD,10027,2123166688,Chinese,05/09/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/09/2019,Cycle Inspection / Initial Inspection
THE COPPER STILL,Manhattan,2 AVENUE,10003,2125108469,Irish,05/09/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/09/2019,Cycle Inspection / Initial Inspection
MONTEBELLO RESTAURANT,Manhattan,EAST   56 STREET,10022,2127531447,Italian,05/11/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/11/2019,Cycle Inspection / Initial Inspection
LE GIGOT,Manhattan,CORNELIA STREET,10014,2126273737,French,05/15/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/15/2019,Cycle Inspection / Initial Inspection
TAAM TOV RESTAURANT,Manhattan,WEST   47 STREET,10036,2127688001,Jewish/Kosher,05/23/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/23/2019,Cycle Inspection / Initial Inspection
Malt and Mold,Manhattan,2 AVENUE,10010,6462380272,American,05/30/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/30/2019,Cycle Inspection / Initial Inspection
METROPOLITAN CLUB,Manhattan,EAST   60 STREET,10022,2128387400,American,05/30/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,05/30/2019,Cycle Inspection / Initial Inspection
SERAFINA FABULOUS PIZZA,Manhattan,MADISON AVENUE,10075,2127342676,Italian,05/31/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,05/31/2019,Cycle Inspection / Initial Inspection
BEACON THEATRE,Manhattan,BROADWAY,10023,2123248015,American,06/06/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/06/2019,Cycle Inspection / Initial Inspection
CROSSROAD CAFE (MORGAN LEWIS),Manhattan,PARK AVENUE,10178,2123096606,American,06/12/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/12/2019,Cycle Inspection / Initial Inspection
BATEAUX NEW YORK,Manhattan,WEST 23 STREET - CHELSEA PIER,,2127277735,American,06/13/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/13/2019,Cycle Inspection / Initial Inspection
RAVAGH PERSIAN GRILL,Manhattan,1 AVENUE,10065,2128617900,Middle Eastern,06/18/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,06/18/2019,Cycle Inspection / Initial Inspection
IMPERIAL THEATRE,Manhattan,WEST   45 STREET,10036,2125867610,American,06/19/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/19/2019,Cycle Inspection / Initial Inspection
COTTA,Manhattan,COLUMBUS AVENUE,10024,2128738500,Italian,06/20/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/20/2019,Cycle Inspection / Initial Inspection
TAMALES LUPITA,Manhattan,E 112TH ST.,10029,3472797443,Latin American,06/21/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/21/2019,Cycle Inspection / Initial Inspection
ELECTRIC ROOM,Manhattan,WEST   16 STREET,10011,2122292511,American,06/27/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/27/2019,Cycle Inspection / Initial Inspection
LIL FRANKIE'S PIZZA,Manhattan,1 AVENUE,10003,2124204900,Italian,07/02/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,07/02/2019,Cycle Inspection / Initial Inspection
IFC CENTER,Manhattan,6 AVENUE,10014,2129246789,American,07/03/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/03/2019,Cycle Inspection / Initial Inspection
FEAST ON US,Manhattan,HUDSON STREET,10014,2122428231,American,07/03/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/03/2019,Cycle Inspection / Initial Inspection
GRAPE AND GRAIN,Manhattan,EAST    6 STREET,10009,6464904029,Italian,07/09/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/09/2019,Cycle Inspection / Initial Inspection
DOKODEMO,Manhattan,EAST    4 STREET,10003,9172615228,Japanese,07/10/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/10/2019,Cycle Inspection / Initial Inspection
THE SWEET SHOP NYC,Manhattan,EAST   73 STREET,10021,2129608685,American,07/23/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/23/2019,Cycle Inspection / Initial Inspection
EASTPOINT/DOWNTIME,Manhattan,AVENUE B,10009,6466926216,American,07/26/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/26/2019,Cycle Inspection / Initial Inspection
LEITAO,Manhattan,HUDSON STREET,10014,6468874035,American,07/29/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/29/2019,Cycle Inspection / Initial Inspection
THE TRIE CAFE,Manhattan,MARGARET CORBIN DRIVE,10034,2126502907,American,07/30/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/30/2019,Cycle Inspection / Initial Inspection
PIER 25 SNACK BAR,Manhattan,WEST STREET,10013,9173024616,American,08/01/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/01/2019,Cycle Inspection / Initial Inspection
BARN JOO 35,Manhattan,WEST   35 STREET,10001,2125644430,Korean,08/29/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/29/2019,Cycle Inspection / Initial Inspection
BARN JOO 35,Manhattan,WEST   35 STREET,10001,2125644430,Korean,08/29/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/29/2019,Cycle Inspection / Initial Inspection
UVA,Manhattan,2 AVENUE,10075,2124724552,Italian,09/04/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,09/04/2019,Cycle Inspection / Initial Inspection
K & S RAMEN,Manhattan,BROOME STREET,10002,9176079591,Japanese,09/05/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/05/2019,Cycle Inspection / Initial Inspection
BATHTUB GIN,Manhattan,9 AVENUE,10011,6465591671,American,09/06/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/06/2019,Cycle Inspection / Initial Inspection
PANDA EXPRESS #2633,Manhattan,9 AVENUE,10036,2129699289,Chinese,09/10/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/10/2019,Cycle Inspection / Initial Inspection
GO GO CURRY,Manhattan,WEST   19 STREET,10011,2122554555,Japanese,09/11/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/11/2019,Cycle Inspection / Initial Inspection
Momokawa,Manhattan,1 AVENUE,10075,9173197995,Japanese,09/18/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/18/2019,Cycle Inspection / Initial Inspection
FRED'S,Manhattan,AMSTERDAM AVENUE,10024,2125793076,American,09/19/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/19/2019,Cycle Inspection / Initial Inspection
TOAD HALL,Manhattan,GRAND STREET,10013,2124318145,American,09/26/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/26/2019,Cycle Inspection / Initial Inspection
SHANGHAI MONG,Manhattan,WEST   32 STREET,10001,2126296450,Korean,09/27/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,09/27/2019,Cycle Inspection / Initial Inspection
CAFE EAST,Manhattan,BROADWAY,10027,9172168812,Asian/Asian Fusion,10/16/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,10/16/2019,Cycle Inspection / Initial Inspection
GOLDEN WOK,Manhattan,AMSTERDAM AVENUE,10031,2122810808,Chinese,10/17/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,10/17/2019,Cycle Inspection / Initial Inspection
BUS STOP DINER,Manhattan,BROADWAY,10031,2126902150,American,10/17/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,10/17/2019,Cycle Inspection / Initial Inspection
AMC THEATRES,Manhattan,WEST   34 STREET,10001,2122444556,American,10/21/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,10/21/2019,Cycle Inspection / Initial Inspection
RED STAR CHINESE RESTAURANT,Manhattan,ADAM CLAYTON POWELL JR BOULEVARD,,6463355592,Chinese,10/31/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,10/31/2019,Cycle Inspection / Initial Inspection
ARMONIE,Manhattan,PARK AVENUE,10035,2127226400,Italian,11/04/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/04/2019,Cycle Inspection / Initial Inspection
BARCADE,Manhattan,SAINT MARKS PLACE,10003,2123880522,American,11/07/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/07/2019,Cycle Inspection / Initial Inspection
"ROWLAND'S BAR AND GRILL, CHEF STREET",Manhattan,WEST   34 STREET,10001,2128683001,American,11/08/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/08/2019,Cycle Inspection / Initial Inspection
JULIUS,Manhattan,WEST   10 STREET,10014,2122431928,American,11/14/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,11/14/2019,Cycle Inspection / Initial Inspection
WAGAMAMA,Manhattan,5 AVENUE,10010,2129206233,Japanese,11/14/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,11/14/2019,Cycle Inspection / Initial Inspection
THE 13TH STEP,Manhattan,2 AVENUE,10003,2122288020,American,11/18/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/18/2019,Cycle Inspection / Initial Inspection
DIVE BAR,Manhattan,AMSTERDAM AVENUE,10025,2127494358,American,11/25/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/25/2019,Cycle Inspection / Initial Inspection
PETER CALLAHAN CATERING,Manhattan,WEST   25 STREET,10001,2123271144,American,11/27/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,11/27/2019,Cycle Inspection / Initial Inspection
EL RIO GRANDE,Manhattan,EAST   38 STREET,10016,2128670922,Mexican,12/02/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,12/02/2019,Cycle Inspection / Initial Inspection
CURRENT,Manhattan,11 AVENUE,10011,2123366144,American,12/04/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,12/04/2019,Cycle Inspection / Initial Inspection
"CAFETAL SOCIAL CLUB, CHACHIS",Manhattan,MOTT STREET,10012,2129661259,Italian,12/06/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,12/06/2019,Cycle Inspection / Initial Inspection
CHAPATI HOUSE,Manhattan,BROADWAY,10027,2127497200,Indian,12/10/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,12/10/2019,Cycle Inspection / Initial Inspection
CHIPOTLE MEXICAN GRILL,Manhattan,6 AVENUE,10019,6469982329,Tex-Mex,12/10/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,12/10/2019,Cycle Inspection / Initial Inspection
SEAMORE'S,Manhattan,8 AVENUE,10011,2125979222,American,12/11/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,12/11/2019,Cycle Inspection / Initial Inspection
NINJA GRILL,Manhattan,ESSEX STREET,10002,2129950999,Japanese,12/16/2019,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,12/16/2019,Cycle Inspection / Initial Inspection
MR. BIGGS BAR AND GRILL,Manhattan,10 AVENUE,10036,2122462030,American,12/17/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,12/17/2019,Cycle Inspection / Initial Inspection
BRADY'S BAR,Manhattan,2 AVENUE,10028,2128616070,American,12/19/2019,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,12/19/2019,Cycle Inspection / Initial Inspection
L'ANGOLO RISTORANTE,Manhattan,DUANE STREET,10013,2126253333,Italian,01/06/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/06/2020,Cycle Inspection / Initial Inspection
BOMBAY GRILL HOUSE,Manhattan,9TH AVE,10019,2129771010,Indian,01/13/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/13/2020,Cycle Inspection / Initial Inspection
CAFE EVERGREEN,Manhattan,1 AVENUE,10021,2127443266,Chinese,01/13/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/13/2020,Cycle Inspection / Initial Inspection
CENTRAL MARKET ALL AMERICAN GRILL,Manhattan,SOUTH STREET,10004,2125145220,American,01/13/2020,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,01/13/2020,Cycle Inspection / Initial Inspection
TITO MURPHY'S,Manhattan,WEST   46 STREET,10036,2122452030,American,01/13/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/13/2020,Cycle Inspection / Initial Inspection
SOCARRAT (PAELLA BAR AND WINE BAR),Manhattan,WEST   19 STREET,10011,2124621000,Spanish,01/14/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/14/2020,Cycle Inspection / Initial Inspection
VILLAGE VANGUARD,Manhattan,7 AVENUE SOUTH,10014,2122554037,American,01/16/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/16/2020,Cycle Inspection / Initial Inspection
SATIN DOLLS,Manhattan,8 AVENUE,10036,2127655047,American,01/21/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/21/2020,Cycle Inspection / Initial Inspection
ROYAL 35 STEAK HOUSE,Manhattan,EAST   35 STREET,10016,2128047276,American,01/22/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/22/2020,Cycle Inspection / Initial Inspection
AJISEN RAMEN,Manhattan,MOTT STREET,10013,2122679680,Japanese,01/22/2020,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,01/22/2020,Cycle Inspection / Initial Inspection
DOS CAMINOS,Manhattan,HUDSON STREET,10014,2126992400,Mexican,01/23/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/23/2020,Cycle Inspection / Initial Inspection
UPLAND,Manhattan,PARK AVENUE SOUTH,10010,2126861006,American,01/24/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/24/2020,Cycle Inspection / Initial Inspection
POLPETTE 71,Manhattan,WEST   71 STREET,10023,2128751512,Italian,01/24/2020,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,01/24/2020,Cycle Inspection / Initial Inspection
RISTORANTE SETTEPANI,Manhattan,LENOX AVENUE,10026,9174924806,Italian,01/27/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/27/2020,Cycle Inspection / Initial Inspection
MOUSTACHE RESTAURANT,Manhattan,BEDFORD STREET,10014,2122292220,Mediterranean,01/28/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/28/2020,Cycle Inspection / Initial Inspection
NEW CRISPY BAMBOO,Manhattan,FREDERICK DOUGLAS BOULEVARD,10030,2126945396,Chinese,01/29/2020,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,01/29/2020,Cycle Inspection / Initial Inspection
KLIMAT,Manhattan,EAST    7 STREET,10003,9172140589,Polish,01/31/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/31/2020,Cycle Inspection / Initial Inspection
